time_stretch,pitch_shift,source
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
0.957,1.0,1
