time_stretch,pitch_shift,source
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
1.046,-0.5,1
